barcode,product_name,front_image,ingredients_image,nutrition_image,packaging_image
0074305001161,"APPLE CIDER VINEGAR","https://images.openfoodfacts.org/images/products/007/430/500/1161/front_en.64.full.jpg;https://images.openfoodfacts.org/images/products/007/430/500/1161/front_fr.11.full.jpg","https://images.openfoodfacts.org/images/products/007/430/500/1161/ingredients_en.65.full.jpg","https://images.openfoodfacts.org/images/products/007/430/500/1161/nutrition_en.66.full.jpg;https://images.openfoodfacts.org/images/products/007/430/500/1161/nutrition_es.14.full.jpg",""
0096619121731,"Jelly Belly","https://images.openfoodfacts.org/images/products/009/661/912/1731/front_es.24.full.jpg;https://images.openfoodfacts.org/images/products/009/661/912/1731/front_en.28.full.jpg","https://images.openfoodfacts.org/images/products/009/661/912/1731/ingredients_en.29.full.jpg;https://images.openfoodfacts.org/images/products/009/661/912/1731/ingredients_es.12.full.jpg;https://images.openfoodfacts.org/images/products/009/661/912/1731/ingredients_fr.13.full.jpg","https://images.openfoodfacts.org/images/products/009/661/912/1731/nutrition_es.26.full.jpg;https://images.openfoodfacts.org/images/products/009/661/912/1731/nutrition_en.30.full.jpg",""
0610708495963,"rostaa Salted Mix","https://images.openfoodfacts.org/images/products/061/070/849/5963/front_en.3.full.jpg","","",""
0690225106542,"Brown Rice India gate 1 kg","https://images.openfoodfacts.org/images/products/069/022/510/6542/front_en.7.full.jpg;https://images.openfoodfacts.org/images/products/069/022/510/6542/front_hi.3.full.jpg","https://images.openfoodfacts.org/images/products/069/022/510/6542/ingredients_en.9.full.jpg","",""
0716270001660,"Ginger Crystallized In Dark Chocolate","https://images.openfoodfacts.org/images/products/071/627/000/1660/front_en.41.full.jpg","","",""
0737628005000,"Peanut Satay Sauce Medium Spicy","https://images.openfoodfacts.org/images/products/073/762/800/5000/front_fr.20.full.jpg;https://images.openfoodfacts.org/images/products/073/762/800/5000/front_en.19.full.jpg","https://images.openfoodfacts.org/images/products/073/762/800/5000/ingredients_en.12.full.jpg;https://images.openfoodfacts.org/images/products/073/762/800/5000/ingredients_fr.14.full.jpg","https://images.openfoodfacts.org/images/products/073/762/800/5000/nutrition_en.16.full.jpg;https://images.openfoodfacts.org/images/products/073/762/800/5000/nutrition_fr.17.full.jpg",""
0748927026245,"Gold Standard 100% Whey Protein Isolate Mocha Cappuccino","https://images.openfoodfacts.org/images/products/074/892/702/6245/front_en.9.full.jpg;https://images.openfoodfacts.org/images/products/074/892/702/6245/front.9.full.jpg","https://images.openfoodfacts.org/images/products/074/892/702/6245/ingredients_pt.14.full.jpg","https://images.openfoodfacts.org/images/products/074/892/702/6245/nutrition_pt.16.full.jpg",""
0748927029864,"on gold standard 100% whey protein isolate","https://images.openfoodfacts.org/images/products/074/892/702/9864/front_en.3.full.jpg","","",""
0748927052756,"Pre-workout Watermelon Candy","https://images.openfoodfacts.org/images/products/074/892/705/2756/front_hi.6.full.jpg","","",""
0801541100507,"Tulsi Original","https://images.openfoodfacts.org/images/products/080/154/110/0507/front_en.7.full.jpg;https://images.openfoodfacts.org/images/products/080/154/110/0507/front_fr.3.full.jpg","","",""
0846597026029,"Mixed Pickle","https://images.openfoodfacts.org/images/products/084/659/702/6029/front_en.3.full.jpg","https://images.openfoodfacts.org/images/products/084/659/702/6029/ingredients_en.4.full.jpg","https://images.openfoodfacts.org/images/products/084/659/702/6029/nutrition_en.5.full.jpg",""
